File,filename,X,Y,Color,Admiration,Adoration,Aesthetic_Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Desire,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic_Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Shame,Sympathy,Tiredness,Triumph
https://mturkrecord.s3.amazonaws.com/targpros/0001.mp3,0001.mp3,312,112,#DF5120,,,,,0.394,,,,,0.112,0.141,,,,,,,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0002.mp3,0002.mp3,489,181,#717A89,,,,,0.131,,,,,0.213,0.158,,,,,,,0.21,,,,,,,,,,,,,,0.117,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0003.mp3,0003.mp3,528,220,#597589,,,,,,,,,,0.21,0.108,,,,,,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0004.mp3,0004.mp3,290,486,#967086,,,,,,0.238,,0.182,,,,0.159,,,,,,,,,0.131,0.222,,,,,,,0.233,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0005.mp3,0005.mp3,576,180,#47719E,,,,,,0.103,,0.121,,0.216,0.142,,0.106,,,,,0.124,,,,0.144,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0006.mp3,0006.mp3,623,443,#75C83A,,,,,,,,,,0.12,,,,,,,,0.141,,,,,,,,,,0.229,,,,0.166,0.146,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0007.mp3,0007.mp3,697,248,#7A467C,,,,,,,,,0.115,0.262,0.112,,,,,,0.145,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,
https://mturkrecord.s3.amazonaws.com/targpros/0008.mp3,0008.mp3,633,582,#6BE773,,,,0.345,,,,,,,,,,,,,,,,,,,,,,,,0.191,,,,0.115,0.333,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0009.mp3,0009.mp3,494,164,#895D76,,,,,0.2,,,,,0.211,0.145,,,0.114,,,,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0010.mp3,0010.mp3,236,598,#616D7B,,,,,,,,,0.106,0.154,,,,,,,,,,,0.115,,,,,,,,0.135,,,,,,,0.155,,,,,0.314,,,,0.137,
https://mturkrecord.s3.amazonaws.com/targpros/0011.mp3,0011.mp3,181,637.8,#9C7BBA,,,,,,0.146,,,,,,,,,,,,,,,0.174,,,,,,,,0.203,,,,,,,0.259,,,,,0.521,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0012.mp3,0012.mp3,525,361,#9C64A8,,,,0.111,,,,,,0.133,,,,,,,,0.123,,,,,,,,,,0.14,,,,0.121,0.11,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0013.mp3,0013.mp3,714,248,#994063,,,,,,,,,0.13,0.223,,,,,,,0.236,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,0.196,
https://mturkrecord.s3.amazonaws.com/targpros/0014.mp3,0014.mp3,547,187,#3459B6,,,,,,,,,0.14,0.36,0.156,,,,,,,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,
https://mturkrecord.s3.amazonaws.com/targpros/0015.mp3,0015.mp3,522,166,#6D4B7E,,,,,0.135,,,,0.111,0.214,0.131,,,,,,0.102,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,
https://mturkrecord.s3.amazonaws.com/targpros/0016.mp3,0016.mp3,469,243,#5FA78F,,,,,,,,,,0.156,0.107,,,,,,,0.166,,,,,,,,,,0.174,,,,0.166,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0017.mp3,0017.mp3,712,248,#953F69,,,,,,,,,0.111,0.232,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,,,,0.121,,,,,0.189,
https://mturkrecord.s3.amazonaws.com/targpros/0018.mp3,0018.mp3,211,608,#9C7FC7,,,,,,0.113,,,,,,,,,,,,,,,0.157,,,,,,,,0.166,,,,,,,0.21,,,,,0.372,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0019.mp3,0019.mp3,711,247,#90426A,,,,,,,,,0.125,0.248,,,,,,,0.207,,,,,,,,,,,,,,,,,,,,,,,0.113,,,,,0.194,
https://mturkrecord.s3.amazonaws.com/targpros/0020.mp3,0020.mp3,139,573,#50448F,,,,,,0.206,,,,,,,,,,,,,,,0.234,,,,,,,,0.386,,0.163,,,,,0.312,,,,,0.306,,,,0.129,
https://mturkrecord.s3.amazonaws.com/targpros/0021.mp3,0021.mp3,307,500,#5E7C82,,,,,,0.12,,0.121,,0.17,,0.142,,,,,,,,,,0.173,,,,,,,0.115,,,,,,,,,,,,0.135,,,,0.11,
https://mturkrecord.s3.amazonaws.com/targpros/0022.mp3,0022.mp3,423,590,#9C7194,,,,,,,,0.119,,0.104,,0.256,0.111,,,,,,,,,0.3,,,,,,,,,,,,,,,,0.187,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0023.mp3,0023.mp3,601,138,#5C7270,,,,,,,,,0.165,0.258,0.162,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,0.108,,,,,,,0.172,
https://mturkrecord.s3.amazonaws.com/targpros/0024.mp3,0024.mp3,361,171,#E4621B,,,,,0.254,,,,,,0.123,,,,,,,0.223,,,0.102,,,,,,,,,,,,,,,,,0.118,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0025.mp3,0025.mp3,635,615,#70E678,,,,0.398,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,0.4,,,,,,,,,0.104,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0026.mp3,0026.mp3,521,98,#8B72A2,,,,,0.14,,,,,0.182,0.143,,,0.1,,,,0.207,,,,,,,,,,,,,,,,,,,,0.108,,,,0.115,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0027.mp3,0027.mp3,161,576,#6A4DC2,,,,,,0.153,,,,,,,,,,,,,,,0.217,,,,,,,,0.279,,0.116,,,,,0.202,,,,,0.315,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0028.mp3,0028.mp3,485,106,#AD8A6D,,,,,0.111,,,,,0.131,0.116,,,,,,,0.214,,,,,,,,,,,,,,,,,,,,0.17,,,,0.105,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0029.mp3,0029.mp3,585,396,#6AB15E,,,,0.177,,,,,,,,,,,,,,0.102,,,,,,,,,,0.207,,,,,0.209,,,,,0.115,,,,0.11,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0030.mp3,0030.mp3,650,213,#B1567B,,,,,,,,,,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.212,,,0.124,,,0.234,
https://mturkrecord.s3.amazonaws.com/targpros/0031.mp3,0031.mp3,584,143,#4663AE,,,,,,,,,0.108,0.288,0.122,,,,,,,0.126,,,,,,,,,,,,,,,,,,,,0.114,,,0.12,,,,0.115,
https://mturkrecord.s3.amazonaws.com/targpros/0032.mp3,0032.mp3,616,165,#515B83,,,,,,,,,0.199,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,0.22,
https://mturkrecord.s3.amazonaws.com/targpros/0033.mp3,0033.mp3,326,105,#D66129,,,,,0.316,,,,,0.123,0.141,,,,,,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0034.mp3,0034.mp3,208,540,#333CAB,,,,,,0.155,,,,,,,,,,,,,,,0.183,,,,,,,0.126,0.218,,,,,,,0.214,,,,,0.24,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0035.mp3,0035.mp3,730,255,#C42868,,,,,,,,,,0.192,,,,,,,0.381,,,,,,,,,,,,,,,,,,,,,,,0.221,,,,,0.125,
https://mturkrecord.s3.amazonaws.com/targpros/0036.mp3,0036.mp3,596,459,#54E53A,,,,,,0.103,,,,,,,,,,,,0.134,,,0.1,,,,,,,0.278,,,,0.12,0.128,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0037.mp3,0037.mp3,443,283,#AB4556,,,,,,0.17,,,,0.107,,,,,,,0.109,0.108,,,0.122,,,,,,,,0.226,,,,,,,,,,,,,,,,0.108,
https://mturkrecord.s3.amazonaws.com/targpros/0038.mp3,0038.mp3,579,393,#4FC37B,,,,0.132,,,,,,,,,,,,,,0.113,,,,,,,,,,0.207,,,,,0.182,,,,,0.144,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0039.mp3,0039.mp3,639,620,#6BE878,,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,0.198,,,,,0.458,,,,,,,,,0.102,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0040.mp3,0040.mp3,350,131,#FE611C,,,,,0.323,,,,,,0.114,,,,,,,0.251,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,
